number,owner,title,created_at,updated_at,closed_at,issue_url,diff_url,PR_lived,events_url,labels,issue_created_at,issue_closed_at,lines_changed
46796,EdSchouten,net/http: fix blocking finishAsyncByteRead.Read method,2021-06-16T22:10:24Z,2021-11-08T11:17:56Z,,https://api.github.com/repos/golang/go/issues/46796,https://github.com/golang/go/pull/46796.diff,12488852.0,https://api.github.com/repos/golang/go/issues/46796/events,['cla: yes'],2021-06-16T22:10:24Z,,12
46714,josephcopenhaver,net/http: add MaxConnLifespan to Transport,2021-06-12T02:55:55Z,2022-05-04T07:02:31Z,,https://api.github.com/repos/golang/go/issues/46714,https://github.com/golang/go/pull/46714.diff,28181196.0,https://api.github.com/repos/golang/go/issues/46714/events,['cla: yes'],2021-06-12T02:55:55Z,,121
46663,knusbaum,go/build: trim filename extension starting at the final dot,2021-06-09T07:15:08Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46663,https://github.com/golang/go/pull/46663.diff,1072119.0,https://api.github.com/repos/golang/go/issues/46663/events,['cla: yes'],2021-06-09T07:15:08Z,,37
46637,jayateertha043,Allow domain cookie to be set on ip address to replicate browser behavior,2021-06-07T17:02:43Z,2021-11-08T19:33:16Z,,https://api.github.com/repos/golang/go/issues/46637,https://github.com/golang/go/pull/46637.diff,13314633.0,https://api.github.com/repos/golang/go/issues/46637/events,['cla: yes'],2021-06-07T17:02:43Z,,5
46598,HeGaoYuan,cmd/compile/internal/types: fix typo in comment,2021-06-06T15:27:11Z,2021-06-22T12:50:00Z,,https://api.github.com/repos/golang/go/issues/46598,https://github.com/golang/go/pull/46598.diff,1372969.0,https://api.github.com/repos/golang/go/issues/46598/events,['cla: yes'],2021-06-06T15:27:11Z,,0
46589,scsgxesgb,crypto/tls: Should use c.sendAlert(alertInternalError) instead of c.sendAlertLocked(alertInternalError) ?,2021-06-05T18:42:44Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46589,https://github.com/golang/go/pull/46589.diff,1376463.0,https://api.github.com/repos/golang/go/issues/46589/events,['cla: yes'],2021-06-05T18:42:44Z,,2
46484,liuzhijiang,cmd/compile/internal/ssa: remove unnecessary low index 0,2021-06-01T10:16:20Z,2021-11-08T11:29:17Z,,https://api.github.com/repos/golang/go/issues/46484,https://github.com/golang/go/pull/46484.diff,13828377.0,https://api.github.com/repos/golang/go/issues/46484/events,['cla: yes'],2021-06-01T10:16:20Z,,4
46455,MagicalTux,image: add ListFormats,2021-05-30T13:39:50Z,2021-11-08T12:06:28Z,,https://api.github.com/repos/golang/go/issues/46455,https://github.com/golang/go/pull/46455.diff,13991198.0,https://api.github.com/repos/golang/go/issues/46455/events,['cla: yes'],2021-05-30T13:39:50Z,,6
46421,lcr2000,net/rpc: reduce the execution of reflect and decode,2021-05-27T16:09:25Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46421,https://github.com/golang/go/pull/46421.diff,2163262.0,https://api.github.com/repos/golang/go/issues/46421/events,['cla: yes'],2021-05-27T16:09:25Z,,8
46376,tylitianrui,bytes: remove unnecessary low index 0 ,2021-05-25T21:30:16Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46376,https://github.com/golang/go/pull/46376.diff,2316811.0,https://api.github.com/repos/golang/go/issues/46376/events,['cla: yes'],2021-05-25T21:30:16Z,,14
46368,helios741,runtime/proc: update forcePreemptNS magic number,2021-05-25T16:24:03Z,2021-11-08T12:06:23Z,,https://api.github.com/repos/golang/go/issues/46368,https://github.com/golang/go/pull/46368.diff,14413340.0,https://api.github.com/repos/golang/go/issues/46368/events,['cla: yes'],2021-05-25T16:24:03Z,,4
46309,skgsergio,crypto/tls: add crypto/tls.VersionName function,2021-05-21T15:11:35Z,2023-02-22T10:08:09Z,,https://api.github.com/repos/golang/go/issues/46309,https://github.com/golang/go/pull/46309.diff,55450594.0,https://api.github.com/repos/golang/go/issues/46309/events,['cla: yes'],2021-05-21T15:11:35Z,,17
46278,jing-rui,net/http: fix hijack hang at abortPendingRead,2021-05-20T01:35:24Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46278,https://github.com/golang/go/pull/46278.diff,2820503.0,https://api.github.com/repos/golang/go/issues/46278/events,['cla: yes'],2021-05-20T01:35:24Z,,20
46197,April3xx,BigEndian add int16 to process negative value,2021-05-17T06:54:13Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46197,https://github.com/golang/go/pull/46197.diff,3060574.0,https://api.github.com/repos/golang/go/issues/46197/events,['cla: yes'],2021-05-17T06:54:13Z,,5
46192,8i8,modload: alldocs: assist the digest of module documentation,2021-05-16T11:43:20Z,2021-11-08T11:17:50Z,,https://api.github.com/repos/golang/go/issues/46192,https://github.com/golang/go/pull/46192.diff,15204870.0,https://api.github.com/repos/golang/go/issues/46192/events,['cla: yes'],2021-05-16T11:43:20Z,,0
46189,ttsugriy,math/bits: use Wilkes-Wheeler-Gill algorithm for OnesCount64,2021-05-15T20:01:48Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46189,https://github.com/golang/go/pull/46189.diff,3186119.0,https://api.github.com/repos/golang/go/issues/46189/events,['cla: yes'],2021-05-15T20:01:48Z,,35
46172,tylitianrui,remove  unnecessary xor,2021-05-14T16:10:16Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46172,https://github.com/golang/go/pull/46172.diff,3286411.0,https://api.github.com/repos/golang/go/issues/46172/events,['cla: yes'],2021-05-14T16:10:16Z,,4
46149,jim3ma,net: add tcp WriteTo func to enable splice socket data to file,2021-05-13T08:31:32Z,2021-11-08T12:35:00Z,,https://api.github.com/repos/golang/go/issues/46149,https://github.com/golang/go/pull/46149.diff,15480208.0,https://api.github.com/repos/golang/go/issues/46149/events,['cla: yes'],2021-05-13T08:31:32Z,,76
46102,zxc111,net/http: add test for proxyAuth,2021-05-11T12:41:09Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46102,https://github.com/golang/go/pull/46102.diff,3558158.0,https://api.github.com/repos/golang/go/issues/46102/events,['cla: yes'],2021-05-11T12:41:09Z,,32
46073,vitaly-zdanevich,net/url: fix documentation quotes,2021-05-10T02:52:56Z,2021-11-08T12:31:10Z,,https://api.github.com/repos/golang/go/issues/46073,https://github.com/golang/go/pull/46073.diff,15759494.0,https://api.github.com/repos/golang/go/issues/46073/events,['cla: yes'],2021-05-10T02:52:56Z,,0
46051,hzzb,runtime: add missing persistentalloc memstats,2021-05-08T12:48:28Z,2021-11-08T11:35:46Z,,https://api.github.com/repos/golang/go/issues/46051,https://github.com/golang/go/pull/46051.diff,15893238.0,https://api.github.com/repos/golang/go/issues/46051/events,['cla: yes'],2021-05-08T12:48:28Z,,5
46036,nejisama,crypto/tls: use a cache to save x509 certificate in the tls connection,2021-05-07T08:32:46Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/46036,https://github.com/golang/go/pull/46036.diff,3918661.0,https://api.github.com/repos/golang/go/issues/46036/events,['cla: yes'],2021-05-07T08:32:46Z,,27
45959,ImanolBarba,net: adding IsNotFound to DNSError returned from cgo reverse resolution,2021-05-05T04:24:17Z,2021-11-09T22:29:00Z,,https://api.github.com/repos/golang/go/issues/45959,https://github.com/golang/go/pull/45959.diff,16308283.0,https://api.github.com/repos/golang/go/issues/45959/events,['cla: yes'],2021-05-05T04:24:17Z,,6
45840,nerdatmath,net: clarify return values from Lookup* calls,2021-04-29T03:47:58Z,2021-11-08T12:31:07Z,,https://api.github.com/repos/golang/go/issues/45840,https://github.com/golang/go/pull/45840.diff,16706589.0,https://api.github.com/repos/golang/go/issues/45840/events,['cla: yes'],2021-04-29T03:47:58Z,,0
45766,marsyrc,reflect/type.go: add case judgement before scanning T's and V's methods,2021-04-26T06:50:35Z,2021-11-09T22:28:59Z,,https://api.github.com/repos/golang/go/issues/45766,https://github.com/golang/go/pull/45766.diff,17077104.0,https://api.github.com/repos/golang/go/issues/45766/events,['cla: yes'],2021-04-26T06:50:35Z,,3
45719,jamdagni86,cmd/go: add support for wildcards in 'go list -m',2021-04-23T09:12:26Z,2021-11-08T11:49:47Z,,https://api.github.com/repos/golang/go/issues/45719,https://github.com/golang/go/pull/45719.diff,17203041.0,https://api.github.com/repos/golang/go/issues/45719/events,['cla: yes'],2021-04-23T09:12:26Z,,80
45681,Foxboron,cmd/link: support full relro,2021-04-21T21:59:20Z,2023-03-05T01:55:03Z,,https://api.github.com/repos/golang/go/issues/45681,https://github.com/golang/go/pull/45681.diff,58938943.0,https://api.github.com/repos/golang/go/issues/45681/events,['cla: yes'],2021-04-21T21:59:20Z,,22
45642,tie,cmd/go: allow generate to skip missing files,2021-04-20T01:29:07Z,2021-11-08T11:29:08Z,,https://api.github.com/repos/golang/go/issues/45642,https://github.com/golang/go/pull/45642.diff,17488801.0,https://api.github.com/repos/golang/go/issues/45642/events,['cla: yes'],2021-04-20T01:29:07Z,,9
45595,upsampled,crypto/ecdsa: adding an IsValid method to PublicKey,2021-04-16T00:48:06Z,2021-11-08T11:09:37Z,,https://api.github.com/repos/golang/go/issues/45595,https://github.com/golang/go/pull/45595.diff,17835691.0,https://api.github.com/repos/golang/go/issues/45595/events,['cla: yes'],2021-04-16T00:48:06Z,,43
45509,dnephin,cmd/go: use exit code from compiled test binary on error,2021-04-11T18:32:50Z,2021-11-08T11:49:36Z,,https://api.github.com/repos/golang/go/issues/45509,https://github.com/golang/go/pull/45509.diff,18206206.0,https://api.github.com/repos/golang/go/issues/45509/events,['cla: yes'],2021-04-11T18:32:50Z,,3
45376,nidhi-doshi,"os: set the correct op while returning errors from WriteAt, ReadFrom, ReadAt",2021-04-04T03:37:22Z,2021-11-08T12:06:16Z,,https://api.github.com/repos/golang/go/issues/45376,https://github.com/golang/go/pull/45376.diff,18865734.0,https://api.github.com/repos/golang/go/issues/45376/events,['cla: yes'],2021-04-04T03:37:22Z,,12
